state,outcome,feature,q,btcusdt_2024_active_n,btcusdt_2024_active_effect,btcusdt_2024_h1_active_n,btcusdt_2024_h1_active_effect,btcusdt_2024_h2_active_n,btcusdt_2024_h2_active_effect,ethusdt_2024_active_n,ethusdt_2024_active_effect,ethusdt_2024_h1_active_n,ethusdt_2024_h1_active_effect,ethusdt_2024_h2_active_n,ethusdt_2024_h2_active_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible
perp_taker_imbalance=Q1,direction_1h_atr,perp_taker_imbalance,1,17246,0.02447090409593465,8149,0.021060689293313034,9097,0.029311820981372798,17175,-0.0009710942489978558,7802,-0.02923808183075395,9373,0.028348072556032878,,,False
perp_taker_imbalance=Q1,up_first_1atr_1h,perp_taker_imbalance,1,16866,0.006837514773238851,7979,0.005411202084220135,8887,0.008032799630104892,16796,-0.001419066119179746,7634,-0.007712517044631051,9162,0.003821785429942326,,,False
perp_taker_imbalance=Q2,direction_1h_atr,perp_taker_imbalance,2,16137,0.0025399143205691588,8253,-0.009293583030797789,7884,0.01353094975629146,16127,-0.0029343081957892416,8391,-0.026440668381759697,7736,0.01945408671757144,,,False
perp_taker_imbalance=Q2,up_first_1atr_1h,perp_taker_imbalance,2,15776,0.0008551716096457662,8068,0.004080039835871518,7708,-0.0024511647198441344,15757,-0.0008829257497626752,8195,0.002763224647867879,7562,-0.004832655330483826,,,False
perp_taker_imbalance=Q3,direction_1h_atr,perp_taker_imbalance,3,15505,-0.019241340246479006,7878,-0.04275018727423391,7627,0.003937656923031087,15597,-0.0016986586216276994,8246,0.01421911325165276,7351,-0.023970652939541946,-1,0.0016986586216276994,False
perp_taker_imbalance=Q3,up_first_1atr_1h,perp_taker_imbalance,3,15167,-0.0008591976285222125,7692,0.003626665230882342,7475,-0.005424473083825099,15259,-0.00324960066907376,8056,-0.001192171774854589,7203,-0.005548400771852147,-1,0.0008591976285222125,False
perp_taker_imbalance=Q4,direction_1h_atr,perp_taker_imbalance,4,15598,-0.010373268906154164,7885,0.010677551931797286,7713,-0.0327734580332174,15318,-0.05525734086983754,8094,-0.05765542404122566,7224,-0.056940084556306725,-1,0.010373268906154164,False
perp_taker_imbalance=Q4,up_first_1atr_1h,perp_taker_imbalance,4,15242,-0.008883710131395883,7695,-0.009953936472717972,7547,-0.007751455875720514,14943,-0.00216034451554753,7881,-0.002416802632546955,7062,-0.0018719141384978544,-1,0.00216034451554753,True
perp_taker_imbalance=Q5,direction_1h_atr,perp_taker_imbalance,5,16546,-0.00017361177986602305,7953,0.0198252058425952,8593,-0.01752338774443178,16130,0.05808593043804898,7571,0.10558596713134853,8559,0.020018710325797863,,,False
perp_taker_imbalance=Q5,up_first_1atr_1h,perp_taker_imbalance,5,16153,0.0012148980855143932,7769,-0.0035261308565049387,8384,0.0055527506134865345,15762,0.007588794587106817,7404,0.00876332880804509,8358,0.006546294556797172,1,0.0012148980855143932,False
