state,outcome,feature,q,btcusdt_2024_n,btcusdt_2024_effect,btcusdt_2024_h1_n,btcusdt_2024_h1_effect,btcusdt_2024_h2_n,btcusdt_2024_h2_effect,ethusdt_2024_n,ethusdt_2024_effect,ethusdt_2024_h1_n,ethusdt_2024_h1_effect,ethusdt_2024_h2_n,ethusdt_2024_h2_effect,discovery_sign,discovery_worst_abs_effect,discovery_eligible
spot_taker_imbalance_change_15m=Q3,direction_1h_atr,spot_taker_imbalance_change_15m,3,21078,0.003323903368805399,11200,0.003072363494615843,9878,0.0015700504917221525,21078,0.01970818062748968,10980,0.027429412458912943,10098,0.008590438609579802,1,0.003323903368805399,True
spot_taker_imbalance_change_15m=Q3,up_first_1atr_1h,spot_taker_imbalance_change_15m,3,20475,-0.0028320002678776657,10861,-0.0016703633943153107,9614,-0.003974447960140293,20473,0.007927603758011048,10660,0.009612124123874077,9813,0.006116872065459411,,,False
spot_taker_imbalance_change_15m=Q4,direction_1h_atr,spot_taker_imbalance_change_15m,4,21079,0.0032924661869393676,10960,-0.02262338079463324,10119,0.030036585437619563,21079,0.00667506336926673,10712,0.0063838131231639395,10367,0.005748364999947225,1,0.0032924661869393676,False
spot_taker_imbalance_change_15m=Q4,up_first_1atr_1h,spot_taker_imbalance_change_15m,4,20477,-0.0009268925210939027,10653,-0.0012141059943392984,9824,-0.0004997081839317463,20451,0.003237003521235793,10395,0.00035457950047579345,10056,0.006225405215313895,,,False
spot_taker_imbalance_change_15m=Q5,direction_1h_atr,spot_taker_imbalance_change_15m,5,21079,-0.014744734269861628,9656,0.009619678468253942,11423,-0.03332107575392663,21079,-0.01778582712430505,9948,-0.020187524801977105,11131,-0.013009371155888403,-1,0.014744734269861628,False
spot_taker_imbalance_change_15m=Q5,up_first_1atr_1h,spot_taker_imbalance_change_15m,5,20552,0.0009106679025834286,9408,-0.0004437471608593757,11144,0.0018830028351001227,20474,-0.0024515745669548283,9664,-0.002518970330855519,10810,-0.0024100843318436427,,,False
spot_taker_imbalance_change_1h=Q1,direction_1h_atr,spot_taker_imbalance_change_1h,1,21079,0.0001534388780093307,9643,0.011846450756966956,11436,-0.007657580736035008,21079,0.001475272449983231,9930,0.018497625976645497,11149,-0.010971382962979651,1,0.0001534388780093307,False
spot_taker_imbalance_change_1h=Q1,up_first_1atr_1h,spot_taker_imbalance_change_1h,1,20556,0.004267683469284134,9401,0.004605740988830875,11155,0.0038099472195697315,20554,-0.0014509628982791178,9683,-0.002866012545893415,10871,-0.0002099577272788311,,,False
spot_taker_imbalance_change_1h=Q2,direction_1h_atr,spot_taker_imbalance_change_1h,2,21079,0.007459853091578331,10881,-0.014125786446476808,10198,0.02939252754780717,21079,0.02179144765821794,10825,-0.0001950042560020862,10254,0.043155218788851944,1,0.007459853091578331,False
spot_taker_imbalance_change_1h=Q2,up_first_1atr_1h,spot_taker_imbalance_change_1h,2,20503,0.0007358911934927659,10568,-0.001680312945386675,9935,0.003397088830538464,20501,-0.004173870155935289,10520,-0.002016222490098085,9981,-0.006435225161399438,,,False
spot_taker_imbalance_change_1h=Q3,direction_1h_atr,spot_taker_imbalance_change_1h,3,21078,0.021616457219251706,11286,-0.0011855450416831254,9792,0.045594782176207195,21078,0.006225467946752029,10887,-0.0017964957452397123,10191,0.012599724176187552,1,0.006225467946752029,False
